label,latitude,longitude,description,category,mood
barry’s - raffles place,1.2916345,103.8330665,Popular bootcamp fitness center,Gym,Excited
yoga movement serangoon gardens,1.3624861,103.824595,Yoga studio in a green setting,Gym,Happy
pure yoga asia square tower 1,1.2903431,103.8329742,Premium yoga & pilates studio,Gym,Excited
gold's gym personal training - crane road,1.3125132,103.8828009,Personal training & weightlifting,Gym,Tired
the executive centre - ocean financial centre,1.2830123,103.786097,Luxury coworking with services,Coworking,Angry
uclub bugis junction co-working space singapore,1.2830116,103.7859253,Business hub at Bugis,Coworking,Happy
workbuddy,1.2742752,103.8291944,Flexible workspace network,Coworking,Tired
the working capitol,1.2788068,103.8389686,Trendy coworking for startups,Coworking,Happy
justco – 120 robinson road coworking & office space,1.2754624,103.8352732,Premium office space provider,Coworking,Excited
one&co,1.2754624,103.8430248,Innovation-driven coworking space,Coworking,Happy
the hive carpenter,1.3463472,103.3091843,Chic coworking with rooftop,Coworking,Happy
wework - office space & coworking,1.2936125,103.8263645,Global coworking brand,Coworking,Calm
vertical space,1.3327988,103.6322822,Versatile workspaces for professionals,Coworking,Excited
o2work,1.2967119,103.8442401,Sustainable coworking & events,Coworking,Calm
library@chinatown,1.2852093,103.8421425,Cultural library in Chinatown,Library,Happy
library@harbourfront,1.2636837,103.8208182,Waterfront library with views,Library,Happy
toa payoh public library,1.3335425,103.8479265,Community library in Toa Payoh,Library,Happy
ang mo kio public library,1.3748331,103.8429227,Neighborhood library in Ang Mo Kio,Library,Tired
clementi public library,1.3147165,103.7614901,Westside library with study areas,Library,Calm
serangoon public library,1.3502127,103.8703066,Suburban library with events,Library,Happy
yishun public library,1.4294929,103.8338204,Spacious library with study spots,Library,Happy
pasir ris public library,1.3723308,103.9472692,Library near the beach,Library,Happy
geylang east public library,1.3174565,103.8831571,Reading hub in Geylang,Library,Happy
sembawang public library,1.4482825,103.8169768,Library in northern Singapore,Library,Happy
